id,aciklama,sehir,semt,mahalle,ilan tarihi,oda sayisi,alan,kira,url
58678-961,BÜYÜKADA'DA YEŞİLLİKLER İÇERİSİNDE DENİZ MANZARALI DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Nizam,16.12.2018,3+1,193 m²,2.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32269258
4387-1189,BÜYÜKADADAGÖKHANDAN DOĞAİÇİNDEMANZARALI FERAH ARA KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,140 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31983963
54895-620,PLANET'TEN MERKEZDE İŞ YERİ OLMAYA UYGUN 2 DAİRELİ KOMPLE BİNA,İstanbul,Adalar,Büyükada-Maden,05.12.2018,6+2,200 m²,7.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32385189
4387-1198,GÖKHANDAN BÜYÜKADADA MERKEZE&DENİZE 5dk.BAHÇEKATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,4+1,120 m²,2.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32321716
4387-1197,GÖKHANDAN BÜYÜKADADA MANZARALI ÇATI KATI,İstanbul,Adalar,Büyükada-Nizam,18.12.2018,2+1,95 m²,1.950 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32270504
82579-527,BÜYÜKADA EMLAK'TAN 2+1 KÖŞK DAİRESİ,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,100 m²,1.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32332223
1324-801,BÜYÜKADA GLOBE EMLAK'TAN KUMSAL'DA 2+1 KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,24.11.2018,2+1,75 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32317950
4387-1144,BÜYÜKADA' DA GÖKHANDAN YILLIK YALI FIRSATI ...,İstanbul,Adalar,Büyükada-Nizam,18.12.2018,3+1,160 m²,72.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31137491
4387-1038,BÜYÜKADADA GÖKHANDAN YILLIK MERKEZE 3 DK. 2+1 TERAS DAİRE,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,110 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/25863762
54895-619,PLANET'TEN 5 DKKA MESAFEDE HAVUZLU DENİZ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Maden,25.11.2018,3+1,130 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32322151
0-32344517,Büyükada Deniz&Yeşil Manzaralı Bahçe Katı Kiralık (Cankaya Cd.),İstanbul,Adalar,Büyükada-Nizam,28.11.2018,1+1,90 m²,1.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-sahibinden/detay/32344517
1324-626,BÜYÜKADA GLOBE EMLAK'TAN YILLIK KİRALIK BAHÇE KATI DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,75 m²,1.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/27026069
82579-461,BÜYÜKADA EMLAK'TAN YAZLIK 3+1 SEDEF ADASI MANZARALI YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,16.12.2018,3+1,110 m²,29.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30795646
0-31986627,"Yaz - Kış Kiralık, Eşyalı, Yeni Daire",İstanbul,Adalar,Büyükada-Nizam,15.12.2018,3+1,100 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-sahibinden/detay/31986627
82579-525,DOĞANIN İÇİNDEKİ HUZUR,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,2+1,100 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32332196
7553-10560,BÜYÜKADADA ÇARŞIDA KELEPİR 85 M2 2+1 KOMBİLİ DAİRE,İstanbul,Adalar,Büyükada-Maden,20.12.2018,2+1,85 m²,1.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31963118
4387-1103,BÜYÜKADADA DENİZE 5 DK.MÜSTAKİL ÖZELLİKLİ YÜKSEK BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,110 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/29539627
